enz_id	MW (g/mmol)
YAL060W	83.87528
GSC2RHO1	240.04398
GSC1RHO1	242.19775
YPR159W	80.77768
YGR143W	86.95194
YIL020C	29.79324
YHR037W	64.98952
YOL066C	67.59907
YBR153W	54.67984
YNL256W	187.82624
YJL060W	101.00968
YER152C	99.82146
YGL202W	113.30066
YHR063C	43.17886
YGL009C	86.53761
YOR108W	135.56116
YHR208W	87.95532
YJR148W	83.96464
YHR137W	118.02406
YDR234W	75.82409
YPR001W	108.5697
YOL064C	39.47983
YOR360C	61.49613
YGL248W	42.35666
YDR487C	45.50088
YDR127W	352.59472
YBR265W	36.27016
YDR035W	41.42157
YBR249C	40.09877
YDR376W	56.72069
YPL252C	19.08025
YLR231C	102.89704
YKR009C	99.59924
YJR025C	40.77544
YER175C	35.04391
YCL018W	78.58324
YGR087C	248.463
YLR044C	248.12296
YLR134W	249.79372
YBR176W	34.76165
YNR033W	89.29424
YMR289W	85.97872
YGR019W	213.579
YCR053W	57.9606
UNKNOWN	nan
YOR163W	21.74428
YLR410W	130.89534
YDR017C	120.56792
YLR017W	114.52881
YER037W	38.01053
YGL224C	32.22435
YOR155C	206.98536
YGR061C	150.20158
YPL023C	74.55483
YGL125W	69.12449
YDR232W	119.78146
YER091C	86.60105
YJR024C	27.64866
YPR118W	90.79764
YOL136C	45.683
YIL107C	94.23224
YGR248W	28.67642
YHR163W	28.00819
YAR069W-A	49.02498
YHR214W-F	49.02498
YLR355C	44.753
YKL192C	14.04452
YIL160C	90.26002
YPL028W	42.10836
YMR207C	243.89632
YBL015W	59.21237
YLR153C	76.14679
YER069W	95.7184
YBR092C	53.19367
YHR215W	53.1309
YBR093C	53.28064
YAR071W	53.18898
YPR002W	58.19317
YOL140W	47.086
YPL148C	20.132
YGL205W	678.22664
YCR048W	72.21028
YNR019W	74.64712
YJL091C	55.95582
YNL141W	39.94656
YML022W	41.4993
YDR441C	40.2734
YJR105W	36.68092
YML035C	376.3144
YER043C	49.54504
YOL052C	46.5958
YNR058W	54.1602
YJL005W	229.83395
YDR226W	24.4556
YDL166C	22.88079
YER170W	25.40377
YLR359W	219.86776
YNL220W	97.39162
YKL001C	23.24623
YGR247W	26.95235
YFL030W	84.55166
YOR335C	108.19082
YGR177C	62.39926
YOR377W	61.53839
YMR303C	148.23028
YHR104W	37.42541
YDR368W	35.04771
YMR083W	162.92468
YGL256W	82.99342
YBR145W	151.89884
YDL168W	165.6264
YOL086C	148.69928
YMR318C	79.91038
YCR105W	79.38038
YMR170C	55.66827
YMR169C	55.86669
YMR110C	60.48836
YPL061W	54.88654
YOR374W	57.22107
YER073W	57.19727
YDR481C	63.52325
YIR029W	39.0303
YIR027C	202.21928
YBR208C	203.61414
YKR061W	51.04967
YBR199W	54.97022
YOR099W	46.39051
YJL139C	51.22932
YBR205W	47.87588
YNL029C	62.21301
YDR483W	51.79507
YPL053C	52.54247
YBR001C	90.43033
YPR026W	138.0749
YDR001C	173.2246
YGR292W	68.64334
YJL216C	68.10004
YJL221C	69.2508
YGR287C	69.14168
YBR299W	68.69138
YIL172C	69.2508
HER2PET112GTF1	134.72329
YDR354W	41.72911
YDR305C	49.97418
YPL111W	107.89689
YHR018C	209.67812
YOL058W	189.29264
YDR341C	70.10837
YHR091C	74.33844
YPR145W	65.00866
YGR124W	65.12757
YHR019C	62.73118
YCR024C	57.26437
YJL130C	247.1883
YER052C	58.61322
YKL106W	104.4779
YDR158W	79.7748
YLL018C	128.09588
YPL104W	76.11009
YDR530C	37.13342
YCL050C	36.77818
YER055C	32.54313
YBR110W	104.73732
YGR286C	42.24792
YNL280C	51.04396
YMR015C	61.8569
YGL001C	39.03295
YLR100W	40.05525
YGR060W	36.77177
YLR056W	43.07681
YMR202W	25.09228
YGL012W	56.50404
YAR035W	78.42861
YER024W	104.21969
YGR088W	260.474
YDR256C	236.203
YDR297W	41.06684
YMR272C	45.2369
YLR308W	35.96966
YLR307W	34.90786
YBR023C	265.47586
YBR038W	221.67526
YNL192W	261.9324
YLR133W	66.86901
YGR202C	49.81763
YPR060C	59.96378
YGL148W	164.78788
SRT1NUS1	83.4524
YNR001C	107.6453
YCR005C	103.69366
YDR044W	76.03424
YBL039C	130.50726
YJR103W	130.09776
YFR055W	37.28608
YGL184C	52.27797
YGR155W	56.50733
YAL012W	171.64244
YJR130C	72.96077
YLR303W	196.35232
YNL247W	176.54676
YLR245C	31.31988
YNR012W	56.77966
YPR062W	35.28758
YML086C	59.99801
YMR041C	38.52702
YBR149W	39.20017
YKL060C	79.89866
YDL246C	153.72828
YJR159W	154.00872
YHR144C	35.94276
YDR454C	20.80616
YHR068W	173.0074
YCR036W	74.4552
YDR196C	27.56658
YNR057C	26.46354
YPL087W	37.52844
YMR113W	48.25568
YDL100C	79.34454
YLR420W	40.65295
YJR016C	126.85932
